OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;1;"Herengracht";"0001";"";"09";"0.9m";"PAAL";"Palen en masten";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897934 52.365345,4.898249 52.365402,4.899082 52.365559,4.900347 52.365807)";"LINESTRING(52.365345 4.897934,52.365402 4.898249,52.365559 4.899082,52.365807 4.900347)";4.8991456;52.3655688;
2;2;"Herengracht";"0002";"";"22";"2.2m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896055 52.364992,4.896121 52.365001,4.896244 52.365024,4.897372 52.365240,4.897701 52.365305)";"LINESTRING(52.364992 4.896055,52.365001 4.896121,52.365024 4.896244,52.365240 4.897372,52.365305 4.897701)";4.896883;52.36514155;
3;3;"Herengracht";"0003";"";"09";"0.9m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887007 52.367754,4.887118 52.367682,4.887574 52.367422,4.887851 52.367267,4.888518 52.366884)";"LINESTRING(52.367754 4.887007,52.367682 4.887118,52.367422 4.887574,52.367267 4.887851,52.366884 4.888518)";4.88776755;52.3673121;
4;4;"Herengracht";"0004";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887054 52.368740,4.887047 52.368703,4.887046 52.368677,4.887037 52.368433,4.887023 52.368172,4.887014 52.368115,4.887009 52.367824)";"LINESTRING(52.368740 4.887054,52.368703 4.887047,52.368677 4.887046,52.368433 4.887037,52.368172 4.887023,52.368115 4.887014,52.367824 4.887009)";4.88703655;52.36827535;
5;5;"Herengracht";"0005";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887176 52.370229,4.887155 52.370059,4.887118 52.369629,4.887106 52.369454,4.887072 52.369015,4.887058 52.368782)";"LINESTRING(52.370229 4.887176,52.370059 4.887155,52.369629 4.887118,52.369454 4.887106,52.369015 4.887072,52.368782 4.887058)";4.8871219;52.3694979;
6;6;"Herengracht";"0006";"";"09";"0.9m";"BROM";"Geparkeerde brommers/motoren";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887255 52.371228,4.887250 52.371171,4.887228 52.370962,4.887197 52.370637,4.887188 52.370528,4.887166 52.370288)";"LINESTRING(52.371228 4.887255,52.371171 4.887250,52.370962 4.887228,52.370637 4.887197,52.370528 4.887188,52.370288 4.887166)";4.8872156;52.37075105;
7;7;"Herengracht";"0007";"";"06MIN";"Smaller dan 0.6m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887251 52.371268,4.887280 52.371556,4.887314 52.371854,4.887341 52.372138,4.887351 52.372213)";"LINESTRING(52.371268 4.887251,52.371556 4.887280,52.371854 4.887314,52.372138 4.887341,52.372213 4.887351)";4.88730595;52.37173335;
8;8;"Herengracht";"0008";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887434 52.372996,4.887434 52.372976,4.887389 52.372628,4.887350 52.372307)";"LINESTRING(52.372996 4.887434,52.372976 4.887434,52.372628 4.887389,52.372307 4.887350)";4.88739705;52.37264505;
9;9;"Herengracht";"0009";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887469 52.373248,4.887438 52.373047)";"LINESTRING(52.373248 4.887469,52.373047 4.887438)";4.8874583;52.373141;
10;10;"Herengracht";"0010";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888266 52.374747,4.888222 52.374715,4.887775 52.374239,4.887765 52.374189,4.887651 52.374062,4.887575 52.373967,4.887536 52.373711)";"LINESTRING(52.374747 4.888266,52.374715 4.888222,52.374239 4.887775,52.374189 4.887765,52.374062 4.887651,52.373967 4.887575,52.373711 4.887536)";4.88790605;52.3742224;
11;11;"Herengracht";"0011";"";"18";"1.8m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888393 52.374891,4.888298 52.374780)";"LINESTRING(52.374891 4.888393,52.374780 4.888298)";4.88835045;52.37482705;
12;12;"Herengracht";"0012";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889048 52.375604,4.888950 52.375502,4.888419 52.374921)";"LINESTRING(52.375604 4.889048,52.375502 4.888950,52.374921 4.888419)";4.88873865;52.3752543;
13;13;"Herengracht";"0013";"";"09";"0.9m";"FIETSONREG|PAAL";"Geparkeerde fietsen ongereguleerd - Palen en masten";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890051 52.376709,4.890035 52.376695,4.889935 52.376584,4.889813 52.376461,4.889660 52.376286,4.889499 52.376102,4.889359 52.375958,4.889072 52.375647)";"LINESTRING(52.376709 4.890051,52.376695 4.890035,52.376584 4.889935,52.376461 4.889813,52.376286 4.889660,52.376102 4.889499,52.375958 4.889359,52.375647 4.889072)";4.8895664;52.37617175;
14;14;"Herengracht";"0014";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890192 52.376838,4.890119 52.376751)";"LINESTRING(52.376838 4.890192,52.376751 4.890119)";4.89016055;52.3767878;
15;15;"Herengracht";"0015";"";"06MIN";"Smaller dan 0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887575 52.374758,4.887668 52.374863)";"LINESTRING(52.374758 4.887575,52.374863 4.887668)";4.8876266;52.3748042;
16;16;"Herengracht";"0016";"";"06MIN";"Smaller dan 0.6m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886890 52.373523,4.886929 52.373838,4.886964 52.374060,4.887016 52.374136,4.887220 52.374358,4.887526 52.374696)";"LINESTRING(52.373523 4.886890,52.373838 4.886929,52.374060 4.886964,52.374136 4.887016,52.374358 4.887220,52.374696 4.887526)";4.88721295;52.37410225;
17;17;"Herengracht";"0017";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886773 52.372303,4.886827 52.372748,4.886854 52.373063,4.886867 52.373245,4.886869 52.373336)";"LINESTRING(52.372303 4.886773,52.372748 4.886827,52.373063 4.886854,52.373245 4.886867,52.373336 4.886869)";4.88682605;52.3728129;
18;18;"Herengracht";"0018";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886599 52.370318,4.886663 52.370992,4.886716 52.371620,4.886762 52.372020,4.886777 52.372248)";"LINESTRING(52.370318 4.886599,52.370992 4.886663,52.371620 4.886716,52.372020 4.886762,52.372248 4.886777)";4.886693;52.3712775;
19;19;"Herengracht";"0019";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886457 52.368817,4.886496 52.369250,4.886535 52.369700,4.886592 52.370258)";"LINESTRING(52.368817 4.886457,52.369250 4.886496,52.369700 4.886535,52.370258 4.886592)";4.88652945;52.36953035;
20;20;"Herengracht";"0020";"";"09";"0.9m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886354 52.367598,4.886398 52.368179,4.886451 52.368751)";"LINESTRING(52.367598 4.886354,52.368179 4.886398,52.368751 4.886451)";4.8864074;52.3681685;
21;21;"Herengracht";"0021";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886432 52.367547,4.886544 52.36748,4.886607 52.367432)";"LINESTRING(52.367547 4.886432,52.36748 4.886544,52.367432 4.886607)";4.8865247;52.36748185;
22;22;"Herengracht";"0022";"";"06";"0.6m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887874 52.366729,4.887239 52.367094,4.886711 52.367392)";"LINESTRING(52.366729 4.887874,52.367094 4.887239,52.367392 4.886711)";4.8872976;52.3670546;
23;23;"Herengracht";"0023";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890342 52.365333,4.890170 52.365431,4.889197 52.365979,4.888541 52.366359,4.888465 52.366399,4.888294 52.366487,4.888205 52.366532,4.888038 52.366630)";"LINESTRING(52.365333 4.890342,52.365431 4.890170,52.365979 4.889197,52.366359 4.888541,52.366399 4.888465,52.366487 4.888294,52.366532 4.888205,52.366630 4.888038)";4.8891952;52.3659751;
24;24;"Herengracht";"0024";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892581 52.365009,4.892437 52.365035,4.890486 52.365297)";"LINESTRING(52.365009 4.892581,52.365035 4.892437,52.365297 4.890486)";4.8915384;52.36514535;
25;25;"Herengracht";"0025";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897797 52.364914,4.897613 52.364895,4.897462 52.364867,4.897015 52.364781,4.896868 52.364754,4.896291 52.364644,4.896121 52.364602)";"LINESTRING(52.364914 4.897797,52.364895 4.897613,52.364867 4.897462,52.364781 4.897015,52.364754 4.896868,52.364644 4.896291,52.364602 4.896121)";4.89696405;52.3647505;
26;26;"Herengracht";"0026";"";"09";"0.9m";"PAAL";"Palen en masten";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897941 52.364947,4.898262 52.365019,4.898659 52.365095,4.900134 52.365378,4.900522 52.365447)";"LINESTRING(52.364947 4.897941,52.365019 4.898262,52.365095 4.898659,52.365378 4.900134,52.365447 4.900522)";4.89923665;52.36519115;
27;27;"Reguliersgracht";"0001";"";"06";"0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896090 52.364920,4.896100 52.364798,4.896117 52.364683)";"LINESTRING(52.364920 4.896090,52.364798 4.896100,52.364683 4.896117)";4.8961086;52.3647944;
28;28;"Reguliersgracht";"0002";"";"06";"0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.895973 52.364889,4.896009 52.364837,4.896018 52.364776,4.896020 52.364704,4.896004 52.364670)";"LINESTRING(52.364889 4.895973,52.364837 4.896009,52.364776 4.896018,52.364704 4.896020,52.364670 4.896004)";4.89600155;52.3647715;
29;29;"Koningssluis";"0001";"";"29";"2.9m";"OVERIG";"Overig";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888332 52.366857,4.888125 52.366790)";"LINESTRING(52.366857 4.888332,52.366790 4.888125)";4.8882334;52.3668162;
30;30;"Koningssluis";"0002";"";"22";"2.2m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888406 52.366789,4.888266 52.366749,4.888255 52.366722)";"LINESTRING(52.366789 4.888406,52.366749 4.888266,52.366722 4.888255)";4.88833545;52.36674945;
31;31;"Huidenstraat";"0001";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886953 52.368739,4.886554 52.368750)";"LINESTRING(52.368739 4.886953,52.368750 4.886554)";4.88675835;52.3687388;
32;32;"Huidenstraat";"0002";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886964 52.368800,4.886557 52.368816)";"LINESTRING(52.368800 4.886964,52.368816 4.886557)";4.88676545;52.36880175;
33;33;"Wolvenstraat";"0001";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887074 52.370224,4.886685 52.370244)";"LINESTRING(52.370224 4.887074,52.370244 4.886685)";4.88688445;52.37022655;
34;34;"Wolvenstraat";"0002";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887082 52.370281,4.886700 52.370301)";"LINESTRING(52.370281 4.887082,52.370301 4.886700)";4.88689615;52.37028375;
35;35;"Hartenstraat";"0001";"";"06";"0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd - ";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887248 52.372235,4.886924 52.372249)";"LINESTRING(52.372235 4.887248,52.372249 4.886924)";4.8870909;52.37223495;
36;36;"Hartenstraat";"0002";"";"06MIN";"Smaller dan 0.6m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887230 52.372277,4.886928 52.372293)";"LINESTRING(52.372277 4.887230,52.372293 4.886928)";4.887084;52.37227695;
37;37;"Raadhuisstraat";"0005";"";"09";"0.9m";"FIETSONREG|PAAL";"Geparkeerde fietsen ongereguleerd - Palen en masten";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887365 52.373488,4.886999 52.373524)";"LINESTRING(52.373488 4.887365,52.373524 4.886999)";4.887187;52.37349955;
38;38;"Leliegracht";"0001";"";"06";"0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888108 52.374774,4.887827 52.374856)";"LINESTRING(52.374774 4.888108,52.374856 4.887827)";4.88797235;52.37480795;
39;39;"Leliegracht";"0002";"";"06";"0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888156 52.374829,4.887920 52.374898,4.887873 52.374916)";"LINESTRING(52.374829 4.888156,52.374898 4.887920,52.374916 4.887873)";4.88801955;52.3748652;
40;40;"Herenstraat";"0001";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889941 52.376741,4.889650 52.376846)";"LINESTRING(52.376741 4.889941,52.376846 4.889650)";4.88980055;52.3767859;
41;41;"Herenstraat";"0002";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889990 52.376796,4.889704 52.376903)";"LINESTRING(52.376796 4.889990,52.376903 4.889704)";4.88985205;52.3768431;
42;42;"Sarphatistraat";"0001";"";"18";"1.8m";"FIETSREG|BROM|GROEN|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Terrassen";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.904691 52.360623,4.904717 52.360609,4.904821 52.360629,4.905458 52.360761,4.906310 52.360938,4.907060 52.361096)";"LINESTRING(52.360623 4.904691,52.360609 4.904717,52.360629 4.904821,52.360761 4.905458,52.360938 4.906310,52.361096 4.907060)";4.90588065;52.36084425;
43;43;"Sarphatistraat";"0002";"";"29";"2.9m";"FIETSREG|BROM|MEUBEL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Straatmeubilair";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.907427 52.361216,4.907363 52.361204,4.907133 52.361150,4.907060 52.361096)";"LINESTRING(52.361216 4.907427,52.361204 4.907363,52.361150 4.907133,52.361096 4.907060)";4.90724845;52.36114945;
44;44;"Nicolaas Berchemstraat";"0001";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898446 52.357374,4.898382 52.357512)";"LINESTRING(52.357374 4.898446,52.357512 4.898382)";4.89841915;52.35743585;
45;45;"Gerard Doustraat";"0001";"";"18";"1.8m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897022 52.356957,4.897751 52.357174,4.898444 52.357375)";"LINESTRING(52.356957 4.897022,52.357174 4.897751,52.357375 4.898444)";4.897738;52.3571593;
46;46;"Gerard Doustraat";"0002";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|GROEN|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.895244 52.356465,4.895305 52.356479,4.895584 52.356544,4.895796 52.356609,4.896315 52.356760,4.896540 52.356820,4.896930 52.356933)";"LINESTRING(52.356465 4.895244,52.356479 4.895305,52.356544 4.895584,52.356609 4.895796,52.356760 4.896315,52.356820 4.896540,52.356933 4.896930)";4.89609215;52.356692;
47;47;"Gerard Doustraat";"0003";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - ";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893407 52.356079,4.893801 52.356162,4.894594 52.356327,4.895121 52.356433)";"LINESTRING(52.356079 4.893407,52.356162 4.893801,52.356327 4.894594,52.356433 4.895121)";4.894269;52.3562495;
48;48;"Gerard Doustraat";"0004";"";"18";"1.8m";"GROEN|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.895280 52.356376,4.895585 52.356441,4.895713 52.356482,4.896133 52.356610,4.896581 52.356737,4.896980 52.356859)";"LINESTRING(52.356376 4.895280,52.356441 4.895585,52.356482 4.895713,52.356610 4.896133,52.356737 4.896581,52.356859 4.896980)";4.89613485;52.35660995;
49;49;"Gerard Doustraat";"0005";"";"18";"1.8m";"FIETSREG|BROM|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Palen en masten";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893028 52.355910,4.893269 52.355956,4.893723 52.356046,4.894393 52.356196,4.894820 52.356282,4.895282 52.356376)";"LINESTRING(52.355910 4.893028,52.355956 4.893269,52.356046 4.893723,52.356196 4.894393,52.356282 4.894820,52.356376 4.895282)";4.8941598;52.35613695;
50;50;"Gerard Doustraat";"0006";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd -  - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890549 52.355499,4.891250 52.355638,4.891977 52.355789,4.892407 52.355873)";"LINESTRING(52.355499 4.890549,52.355638 4.891250,52.355789 4.891977,52.355873 4.892407)";4.89148305;52.3556792;
51;51;"Gerard Doustraat";"0007";"";"18";"1.8m";"GROEN";"Groen";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888544 52.355219,4.889052 52.355195)";"LINESTRING(52.355219 4.888544,52.355195 4.889052)";4.888803;52.35520045;
52;52;"Gerard Doustraat";"0008";"";"18";"1.8m";"FIETSREG|WINKEL|GROEN";"Geparkeerde fietsen gereguleerd - Groen - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888545 52.355219,4.888589 52.355256,4.888681 52.355713)";"LINESTRING(52.355219 4.888545,52.355256 4.888589,52.355713 4.888681)";4.88861795;52.35545985;
53;53;"Gerard Doustraat";"0009";"";"09";"0.9m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890539 52.355414,4.890818 52.355465,4.891625 52.355627,4.892443 52.355795)";"LINESTRING(52.355414 4.890539,52.355465 4.890818,52.355627 4.891625,52.355795 4.892443)";4.8914962;52.35559905;
54;54;"Gerard Doustraat";"0010";"";"09";"0.9m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888587 52.355128,4.889060 52.355108,4.889784 52.355256,4.890268 52.355362)";"LINESTRING(52.355128 4.888587,52.355108 4.889060,52.355256 4.889784,52.355362 4.890268)";4.8894324;52.35522715;
55;55;"Gerard Douplein";"0001";"";"06";"0.6m";"BROM|WINKEL|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Terrassen - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892782 52.355864,4.892442 52.355795)";"LINESTRING(52.355864 4.892782,52.355795 4.892442)";4.8926172;52.35582415;
56;56;"Gerard Douplein";"0002";"";"09";"0.9m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892476 52.356014,4.892451 52.355883,4.892404 52.355873)";"LINESTRING(52.356014 4.892476,52.355883 4.892451,52.355873 4.892404)";4.8924451;52.3559367;
57;57;"Gerard Douplein";"0003";"";"06MIN";"Smaller dan 0.6m";"FIETSREG|BROM|GROEN|TERRAS|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Palen en masten - Terrassen";6;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892645 52.356112,4.893407 52.356079)";"LINESTRING(52.356112 4.892645,52.356079 4.893407)";4.8930309;52.35608925;
58;58;"Albert Cuypstraat";"0001";"";"09";"0.9m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897374 52.356603,4.898505 52.356935,4.898966 52.357074,4.899390 52.357200)";"LINESTRING(52.356603 4.897374,52.356935 4.898505,52.357074 4.898966,52.357200 4.899390)";4.8983872;52.35689415;
59;59;"Albert Cuypstraat";"0002";"";"09";"0.9m";"WINKEL|OVERIG|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Overig - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893134 52.355568,4.893976 52.355727,4.894411 52.355817,4.895041 52.355959,4.895433 52.356046,4.895813 52.356136,4.896143 52.356237,4.896503 52.356346,4.896903 52.356468,4.897246 52.356563)";"LINESTRING(52.355568 4.893134,52.355727 4.893976,52.355817 4.894411,52.355959 4.895041,52.356046 4.895433,52.356136 4.895813,52.356237 4.896143,52.356346 4.896503,52.356468 4.896903,52.356563 4.897246)";4.895195;52.35605875;
60;60;"Albert Cuypstraat";"0003";"";"06";"0.6m";"BROM|WINKEL|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Terrassen - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890462 52.355066,4.890958 52.355154,4.891527 52.355268,4.892349 52.355417,4.893029 52.355548)";"LINESTRING(52.355066 4.890462,52.355154 4.890958,52.355268 4.891527,52.355417 4.892349,52.355548 4.893029)";4.89175055;52.35529965;
61;61;"Albert Cuypstraat";"0004";"";"09";"0.9m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888485 52.354682,4.889156 52.354822,4.889630 52.354914,4.890122 52.355011)";"LINESTRING(52.354682 4.888485,52.354822 4.889156,52.354914 4.889630,52.355011 4.890122)";4.88930845;52.35483995;
62;62;"Albert Cuypstraat";"0005";"";"18";"1.8m";"GROEN|TERRAS|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen - Terrassen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887116 52.354693,4.887552 52.354689,4.888320 52.354652)";"LINESTRING(52.354693 4.887116,52.354689 4.887552,52.354652 4.888320)";4.887723;52.3546664;
63;63;"Albert Cuypstraat";"0006";"";"18";"1.8m";"FIETSREG|BROM|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Palen en masten";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888307 52.354503,4.887378 52.354551,4.887123 52.354553)";"LINESTRING(52.354503 4.888307,52.354551 4.887378,52.354553 4.887123)";4.8877201;52.3545214;
64;64;"Albert Cuypstraat";"0007";"";"06";"0.6m";"FIETSREG|BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890143 52.354856,4.890117 52.354849,4.889388 52.354703,4.888414 52.354514)";"LINESTRING(52.354856 4.890143,52.354849 4.890117,52.354703 4.889388,52.354514 4.888414)";4.8892834;52.35467785;
65;65;"Albert Cuypstraat";"0008";"";"09";"0.9m";"BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893107 52.355408,4.892570 52.355306,4.892047 52.355214,4.891441 52.355096,4.891030 52.355020,4.890455 52.354916)";"LINESTRING(52.355408 4.893107,52.355306 4.892570,52.355214 4.892047,52.355096 4.891441,52.355020 4.891030,52.354916 4.890455)";4.89178585;52.35515465;
66;66;"Albert Cuypstraat";"0009";"";"09";"0.9m";"BROM|WINKEL|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Terrassen - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893228 52.355430,4.893813 52.355536,4.894188 52.355604,4.894659 52.355710,4.895385 52.355873,4.895871 52.356000,4.896284 52.356115,4.896666 52.356227,4.897354 52.356433)";"LINESTRING(52.355430 4.893228,52.355536 4.893813,52.355604 4.894188,52.355710 4.894659,52.355873 4.895385,52.356000 4.895871,52.356115 4.896284,52.356227 4.896666,52.356433 4.897354)";4.8952961;52.35592525;
67;67;"Albert Cuypstraat";"0010";"";"06";"0.6m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.899430 52.357049,4.899046 52.356931,4.898618 52.356801,4.898315 52.356713,4.897936 52.356598,4.897485 52.356467)";"LINESTRING(52.357049 4.899430,52.356931 4.899046,52.356801 4.898618,52.356713 4.898315,52.356598 4.897936,52.356467 4.897485)";4.8984623;52.3567511;
68;68;"Govert Flinckstraat";"0001";"";"06";"0.6m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897708 52.356140,4.898549 52.356385,4.899484 52.356654,4.899640 52.356713)";"LINESTRING(52.356140 4.897708,52.356385 4.898549,52.356654 4.899484,52.356713 4.899640)";4.898679;52.3564192;
