OBJECTNUMMER;Techniek;Titel_kunstwerk;Kunstenaar;Jaartal;Waardering;Adres_gebouw;Status_gebouw;Bouwjaar;Afbeelding;Kunsthistorische_waarde;Cultuurhistorische_waarde;Architectuurhistorische_waarde;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Sculptuur";"Vliegende vogel";"Wessel Couzijn (1912-1984)";1955;"Top";"Herengracht 431";"Rijksmonument";1639;"3bdb5c74-b2df-48dd-b53d-bda637061d42.jpg";"De bronzen sculptuur,Vliegende vogel, die zich op het voorportaal van de Singelkerk op Herengracht 431 bevindt, is gemaakt door de Amsterdamse beeldhouwer Wessel Couzijn. Het heeft een kunsthistorische waarde als een reliëf van één van de bekendste Nederlandse beeldhouwers, Wessel Couzijn. Het heeft waarde als een abstract-expressionistisch sculptuur. Oorspronkelijk bevond het zich op de gevel van de Olijftak, een kerk aan de Burgemeester Rendorpstraat, gebouwd door K.L. Sijmons Dzn. Het was ook niet voor deze locatie gemaakt. Het is ontworpen als een monument voor Albert Plesman, directeur van de KLM, maar werd niet gewaardeerd. De Joodse kunstenaar Couzijn genoot een groot aanzien door zijn beelden, zoals het Nationaal Monument voor de Koopvaardij in Rotterdam en het Koopvaardijmonument in Vlissingen. Als tiener woonde hij in New York, waar hij lessen volgde op de Art Students League. In Amsterdam is hij opgeleid bij professor Jan Bronner aan de Rijksacademie van Beeldende Kunsten en won hij in 1936 de Prix de Rome, waarmee hij kort aan de Académie Ronson in Parijs studeerde. In 1940 vluchtte hij voor de dreigende oorlogssituatie naar New York waar hij op het atelier van Ossip Zadkine zijn vrouw Pearl Perlmutter, beeldhouwster, leerde kennen. Na zijn terugkeer naar Nederland was hij docent aan de Kunstnijverheidschool, later de Gerrit Rietveldacademie. Hij was bestuurslid van de Nederlandse Kring van Beeldhouwers en richtte in 1959 Groep Amsterdam op.";"Het heeft cultuurhistorische waarde als één van de weinige gevelgebonden beelden van de Amsterdamse beeldhouwer Wessel Couzijn. In een woonblok aan de President Brandtstraat 330 bevindt zich een beeldhouwwerk van Couzijn. In Amsterdam staat in het Sloterpark het beeld `Groot Landschap` en het Stedelijk Museum bezit een aantal beelden.3. Architectuurhistorische waarde Dit beeld is niet groot en op het voorportaal van de `terugliggende`, achter de rooilijn van de Herengracht gebouwde Singelkerk heeft het nu een beeldbepalende werking.";"Het heeft cultuurhistorische waarde als één van de weinige gevelgebonden beelden van de Amsterdamse beeldhouwer Wessel Couzijn. In een woonblok aan de President Brandtstraat 330 bevindt zich een beeldhouwwerk van Couzijn. In Amsterdam staat in het Sloterpark het beeld `Groot Landschap` en het Stedelijk Museum bezit een aantal beelden.3. Architectuurhistorische waarde Dit beeld is niet groot en op het voorportaal van de `terugliggende`, achter de rooilijn van de Herengracht gebouwde Singelkerk heeft het nu een beeldbepalende werking.";"POINT(4.888106,52.367366)";"POINT(52.367366,4.888106)";4.888106;52.367366;
2;"Glas, anders";"De Eenheid der Kerk / Moeder Maria";"Pieter van Velzen (1911-1990)";1949;"Waardevol";"Kalverstraat 58";"Rijksmonument";1848;"";"In de Rooms-katholieke kerk De Papegaai, de Parochiekerk van de Heilige Petrus en Paulus in de Kalverstraat 58, zijn twee acht meter hoge glas-in-loodramen aanwezig, die gemaakt zijn door Pieter van Velzen. De ramen hebben waarde als ramen van deze bekende glazenier. In het oeuvre van de kunstenaar nemen de ramen een belangrijke plaats in. Volgens Peter van Dael, de schrijver van boekje, `Amsterdam, De Papegaai`, heeft Van Velzen het eerste raam met de voorstelling `Eenheid der Kerk` in 1949 en het tweede raam met `Moeder Maria` in 1964 gemaakt. Pieter van Velzen is opgeleid bij professor Campendonk aan de Rijksacademie van Beeldende Kunsten. Vooral het kunstwerk uit 1949 is bijzonder vanwege een vroeg voorbeeld van een raam in de Expressionistische stijl met een Bijbelse voorstelling in een Rooms-katholieke kerk. De opdracht is tot stand gekomen nadat een jury, waarin Willem Sandberg, directeur van het Stedelijk Museum zat, zijn ontwerp had verkozen boven dat van andere kunstenaars. Andere ontwerpen van Van Velzen laten de invloed van Picasso zien. De meeste van zijn glas-in-loodramen zijn te vinden in de buurt van zijn voormalige woonplaats Nieuw-Loosdrecht. Hij had een glasoven in de tuin en voerde alle glasramen zelf uit.";"Het glas-in-loodraam heeft waarde als een Expressionistisch raam in een traditionele Rooms-katholieke kerk. De twee ramen vormen een ensemble.";"De Rooms-katholieke kerk Heilige Petrus en Paulus is in 1848 gebouwd door architect Gerrit Moele en staat bekend als de eerste Neogotische kerk in Amsterdam. De kerk is beschermd als Rijksmonument. De ramen zijn imposant en beeldbepalend voor de kerk.";"POINT(4.891837,52.37122)";"POINT(52.37122,4.891837)";4.891837;52.37122;
3;"Mozaïek";"Prinsengrachtziekenhuis";"Harry op de Laak (1925-2012)";1957;"Waardevol";"Prinsengracht 767";"Rijksmonument";1854;"";"Het natuursteenmozaïek bij de entrée van het Prinsengrachtziekenhuis heeft een kunsthistorische waarde als een kunstwerk in de abstract-figuratieve stijl uit de wederopbouwtijd. Het heeft ook een kunsthistorische waarde als een mozaïek gemaakt door de bekende monumentaal kunstenaar, hoogleraar Harry op de Laak. Hij was een prominent lid van de De Realisten en van de Vereniging van beoefenaars der Monumentale Kunsten. Zijn invloed op jonge monumentale kunstenaars was groot, omdat hij van 1974 tot 1986 hoogleraar Monumentale Kunsten aan de Rijksacademie was. Hij beoefende veel verschillende technieken als glas-in-lood, glasappliqué, mozaïek, etc. Op de Laak is niet alleen invloedrijk geweest als hoogleraar, maar ook in zijn werk. In 1956 realiseerde hij als één van de eerste grote betonreliëfs in de -voormalige- Technische School Patrimonium aan Vrolikstraat 8, nu Cygnus Gymnasium. Het meeste werk is figuratief of geabstraheerd figuratief, zoals dit mozaïek.Hij voerde veel monumentale opdrachten uit, waaronder vijf percentageopdrachten voor het Rijk tussen 1952 en 1975.";"Het natuursteenmozaïek heeft een cultuurhistorische waarde in dit deel van het ziekenhuis uit de jaren vijftig. Het bereikt als kunstwerk ook veel mensen die vermoedelijk niet vaak naar musea gaan en zelden met kunst in aanraking komen. Dat is een belangrijk doel van monumentale kunst.In Amsterdam zijn meer kunstwerken van Op de Laak te vinden zoals in Jongkindstraat 112, Burgemeester De Vlugtlaan 125, Banstraat 29, de Nieuwe Kerkstraat en de voormalige technische school op Vrolikstraat 8.Dat laatste is afgebeeld in het boek van de Rijksdienst voor het Cultureel Erfgoed over monumentale kunst: Kunst van de wederopbouw in Nederland 1940-196, Experiment in Opdracht  en siert de cover van Monumenten van Herrezen Nederland.";"Het mozaïek heeft een representatieve positie bij de entrée in de uitbreiding van het Prinsengrachtziekenhuis, dat in 1957-1958 gebouwd is door Ben Ingwersen van het architectenbureau De Geus en Ingwersen. Het zit in het portiek in de voormalige portiersloge en wordt door Jos Smit beschreven als: `het vormt de overgang tussen het openbare leven en de besloten wereld van het ziekenhuis`. Het mozaïek sluit hier op aan met een verbeelding van een beschutte wereld en het uitslaan van de vleugels in de wijde wereld.`";"POINT(4.887018,52.363632)";"POINT(52.363632,4.887018)";4.887018;52.363632;
4;"Glas, anders";"De Duif";"Jaap Min (1914-1987)";1943;"Waardevol";"Prinsengracht 756";"Rijksmonument";1857;"";"In de sacristie van De Duif, de Rooms-katholieke Kerk Sint Willibrordus binnen de Veste aan de Prinsengracht 756, is een driedelig glas-in-loodraam te zien dat volgens de erven gemaakt is door Jaap Min. Het raam heeft waarde als een kunstwerk van deze bekende Bergense kunstenaar. In zijn oeuvre is het van waarde als zijn eerste glas-in-loodraam. Ze hebben een kunsthistorische waarde als Expressionistische glasramen in pastelkleuren met Bijbelse voorstellingen. Jaap Min is tussen 1938 en 1944 opgeleid aan de Rijksacademie van Beeldende Kunsten als leerling van de hoogleraren Jurres, Van den Berg en Campendonk. Van 1954 tot 1961 was hij zelf professor aan de Jan van Eyck Academie in Maastricht. Over de kunstenaar zijn meerdere boeken verschenen.";"De ramen hebben een cultuurhistorische waarde als herinnering aan een glas-in-lood opdracht gemaakt tijdens de Tweede Wereldoorlog. De ramen werden uitgevoerd bij Atelier Bogtman in Haarlem. Jaap Min heeft in 1952 ramen gemaakt voor de Tichelkerk en voor de kapel De Voorzienigheid aan de Lauriergracht. In 1964 maakte hij glas-in-loodramen voor de Bernardus Stichting en vlak voor zijn overlijden in 1969 een raam voor de Rooms-katholieke kerk De Goede Herder aan de Van Boshuizenstraat. De Duif is een van de eerste gebouwde Rooms-katholieke parochiekerken in de negentiende eeuw.";"De Duif, gebouwd in de Neoclassicistische bouwstijl, is in 1857 ontworpen door architect Theo Molkenboer. De kerk is beschermd als rijksmonument. De ramen van Jaap Min hebben een beeldbepalende werking in het lokaal.";"POINT(4.896748,52.361335)";"POINT(52.361335,4.896748)";4.896748;52.361335;
5;"Schildering";"";"Harry op de Laak (1925-2012)";1963;"Waardevol";"Nieuwe Kerkstraat 122";"Gemeentelijk monument";1861;"";"De schildering heeft kunsthistorische waarde als een figuratief kunstwerk van de bekende monumentaal kunstenaar, hoogleraar Harry op de Laak. Hij was een prominent lid van De Realisten en van de Vereniging van beoefenaars der Monumentale Kunsten. Het schilderij is groot en oogt als een wandschildering op doek. Het is een `roerend`  kunstwerk, maar door het onderwerp dat afgestemd is op de functie van de school en het grote formaat dat passend is gemaakt voor de ruimte, is het wel een monumentaal kunstwerk. Zijn invloed op jonge monumentale kunstenaars was groot, omdat hij van 1974 tot 1986 hoogleraar Monumentale Kunsten aan de Rijksacademie was. Hij beoefende veel verschillende technieken, zoals glas-in-lood, glasappliqué, mozaïek, etc. In 1956 realiseerde hij als één van de eerste grote betonreliëfs in de -voormalige- Technische School Patrimonium aan de Vrolikstraat. Het meeste werk van Op de Laak is figuratief of geabstraheerd figuratief, zoals dit baksteenmozaïek. Hij voerde veel monumentale opdrachten uit, waaronder vijf percentageopdrachten voor het Rijk tussen 1952 en 1975.";"In de stad zijn meer kunstwerken van Op de Laak te vinden, zoals in Jongkindstraat 112, Burgemeester De Vlugtlaan 125, Banstraat 29, in het Prinsengracht-ziekenhuis en de voormalige Technische school op Vrolikstraat 8.Dat laatste is afgebeeld in het boek van de Rijksdienst voor het Cultureel Erfgoed over monumentale kunst Kunst van de wederopbouw in Nederland 1940-1965, Experiment in Opdracht en siert de cover van Monumenten van Herrezen Nederland.";"Het schilderij bevindt zich in de Volksmuziekschool. Het is niet bekend waar in het gebouw het zich bevindt en of het een beeldbepalende werking in die ruimte heeft.Het schoolgebouw, een armenschool uit 1862, behoort tot de oudste schoolgebouwen van Amsterdam, waar maar één klaslokaal aanwezig was voor alle 360 arme kinderen. Het is vermoedelijk ontworpen door stadsarchitect Willem Springer of Bas de Greef van de Dienst der Publieke Werken.";"POINT(4.907726,52.364319)";"POINT(52.364319,4.907726)";4.907726;52.364319;
6;"Glas, anders";"Paviljoen Vondelpark";"Gène Eggen (1921-2000)";1948;"Waardevol";"Vondelpark 3";"Rijksmonument";1879;"";"De glas-in-loodramen die in de ontvangsthal van het Vondelparkpaviljoen aanwezig waren, hebben kunsthistorische waarde als de allereerste monumentale opdracht van de bekende Limburgse schilder en glazenier Gène Eggen. Het zijn ramen in de geabstraheerde-figuratieve stijl, waarin sierlijk vormgegeven vogels te herkennen zijn. De ramen zijn opgeslagen en wachten op een nieuwe bestemming. Eggen, die vooral in het zuiden veel religieuze ramen maakte voor kerken, werkte in de expressionistische stijl. Hij heeft een omvangrijk oeuvre opgebouwd, met glas-in-loodramen en beeldhouwwerken in circa 17 kerken, zoals de Verrezen Christuskerk in Weert en de Lambertuskerk in Kerkrade. In 1943 verhuisde hij van Limburg naar Amsterdam, om op de Rijksacademie voor Beeldende Kunsten lessen monumentale kunst te volgen bij professor Campendonk. Na zijn afstuderen in 1948 keerde hij terug naar Limburg.";"De glas-in-loodramen, die De Kunsten verbeelden, hebben een cultuurhistorische waarde als de enige ramen van Eggen in Amsterdam.";"Het Vondelparkpaviljoen is in 1874 gebouwd door architect W. Hamer, in de Italiaanse Renaissance stijl. Het is een rijksmonument. Het kunstwerk is nu echter opgeslagen.";"POINT(4.874994,52.361073)";"POINT(52.361073,4.874994)";4.874994;52.361073;
7;"Glas, anders";"Kapel en R.K. Gesticht De Voorzienigheid";"Jaap Min (1914-1987)";1953;"Waardevol";"Lauriergracht 39";"Rijksmonument";1882;"";"In de voormalige kapel van het Rooms-katholieke Gesticht De Voorzienigheid aan de Lauriergracht 39 zijn vijf glas-in-loodramen aanwezig van de bekende Bergense kunstenaar Jaap Min. De drie bovenste glas-in-loodramen in het koor dateren uit 1953 en links en rechts van het koor zijn twee grote glas-in-loodramen uit 1964 te zien. Ze hebben waarde als glasramen van de bekende glazenier Jaap Min. In zijn oeuvre hebben de ramen in het koor ook waarde als vroege opdrachten. Ze stellen `De drie geloften (gehoorzaamheid, zuiverheid en armoede)` voor. De twee ramen uit 1964 stellen `De verlossing van Christus` voor en `Christus als leraar met Martha en Maria`. Ze hebben een kunsthistorische waarde als Expressionistische glas-in-loodramen met Bijbelse voorstellingen. Nadat de Rooms-katholieke zusters in 1990 zijn verhuisd, is de kapel in gebruik genomen door het Reclamebureau KesselsKramer. Zij ontdekten in het koor de onderste drie vooroorlogse ramen van een andere, onbekende kunstenaar.Jaap Min is tussen 1938 en 1944 opgeleid aan de Rijksacademie van Beeldende Kunsten als leerling van Jurres, Van den Berg en Campendonk. Van 1954 tot 1961 was hij professor aan de Jan van Eyck Academie in Maastricht. Over de kunstenaar zijn meerdere boeken verschenen.";"De ramen hebben een cultuurhistorische waarde als herinnering aan het Rooms-katholieke Gesticht De Voorzienigheid. Het gesticht diende als weeshuis. Min heeft in Amsterdam ook glas-in-loodramen gemaakt voor de Bernardus Stichting, voor de Tichelkerk aan de Lijnbaansgracht en voor Rooms-katholieke kerk De Goede Herder aan de Van Boshuizenstraat 422.";"De Neogotische Kapel De Voorzienigheid is in 1882 gebouwd door architect A.C. Bleys. De ramen van Jaap Min hebben een beeldbepalende werking. Het gebouw is beschermd als Rijksmonument.";"POINT(4.881087,52.371291)";"POINT(52.371291,4.881087)";4.881087;52.371291;
8;"Glas, anders";"Polyhymnia";"Femmy Schilt-Geesink (1908-1988)";1955;"Waardevol";"Van Baerlestraat 98";"Rijksmonument";1883;"";"Het glas-in-loodraam Polyhymnia van Femmy Schilt-Geesink dat zich in het Concertgebouw bevindt, heeft een kunsthistorische waarde als één uit haar oeuvre van circa 150 monumentale kunstwerken. Dit raam in de symbolische stijl heeft voor haar een bijzondere waarde gehad, omdat ze muzikaal was en de opleiding piano aan het Conservatorium heeft genoten. Ze is tussen 1929 en 1933 opgeleid in de monumentale kunsten aan de Rijksacademie bij Richard Roland Holst en vooral bekend als glazenier. Haar ontwerpen met natuurmotieven zijn gebaseerd op mathematische grondvormen als cirkels en de Gulden Snede. In haar kunstwerken speelde vaak de verbeelding van muziek een rol. In het raam staat de Griekse muze van de lofzang, Polyhymnia, tussen de andere muzen in, met op de achtergrond het Concertgebouw en een stad met wolkenkrabbers, als symbool van Amerika. Haar echtgenoot, die haar technische uitvoerder was, heeft een boek over haar geschreven.";"Na een onderwaardering in de jaren zestig is het raam verwijderd en in 2012 in de nieuwe vleugel herplaatst, op initiatief van Bond Heemschut. Het is vermoedelijk het enige raam van Femmy Schilt-Geesink in Amsterdam.Het raam, dat in 1955 geschonken is door de Vrienden van het Concertgebouw, heeft cultuurhistorische waarde als herinnering aan de eerste Amerikaanse tournee van het Concertgebouworkest.  De RCE bereidt een publicatie voor over een onderzoek naar het glas-in-loodraam Diana van Femmy Schilt-Geesink.";"Schilt-Geesinks kunst vertoont invloed van haar professor Roland Holst, die de relatie van de kunst in de architectuur als één van de belangrijkste opdrachten van een monumentaal kunstenaar vond. Het heeft overtuigend een inhoudelijke waarde met het door architect Van Gendt in 1888 in de neo-classicistische stijl gebouwde Concertgebouw. Of de positie van het glas-in-loodraam, dat drie meter hoog is en tegenwoordig in het trappenhuis naar de toiletten in de Nieuwe Vleugel van architect Pi de Bruijn is geplaatst, een beeldbepalende waarde in het Concertgebouw heeft, is aannemelijk.";"POINT(4.878811,52.355966)";"POINT(52.355966,4.878811)";4.878811;52.355966;
9;"Sgraffito";"GLO De Ruiterschool nr. 7";"Simon Erb (1921-1975)";1960;"Top";"Tweede Leeghwaterstraat 7";"Gemeentelijk monument";1885;"";"De sgraffito in de vestibule van de hoofdingang van het schoolgebouw in Tweede Leeghwaterstraat 7 heeft kunsthistorische waarde als een abstracte sgraffito in een schoolgebouw. Dat was avant-gardistisch in 1960. Het heeft ook waarde als een kunstwerk van de bekende monumentaal kunstenaar Simon Erb, pseudoniem van Simon Smits. In zijn beperkte oeuvre van monumentale kunstwerken is het van grote waarde. Erb vestigde zijn naam met de abstracte sgraffiti die hij in 1956 maakte voor het Provinciehuis van Gelderland in Arnhem van architect Vegter. Het programma voor de kunstwerken was door Hammacher samengesteld en kreeg veel publiciteit. De in Leiden geboren Simon Erb is tussen 1951 en 1953 lid geweest van Creatie, en exposeerde op tentoonstellingen in het Stedelijk Museum met deze vereniging van kunstenaars, die vooral abstracte kunst maakten. Hij sloot zich aan bij Vereniging van beoefenaars der Monumentale Kunsten. Zijn sgraffito voor het Provinciehuis staat in teken aan de wand.";"De sgraffito heeft een cultuurhistorische waarde. Sgraffito is een zeldzame kunsttechniek die in Nederland vanaf 1890 sporadisch toegepast is, maar opbloeide in de wederopbouwjaren. De naoorlogse bloei duurde slechts 20 jaar. Met de sloop van de wederopbouwpanden, zijn al veel kunstwerken vernietigd. De zeldzaamheidswaarde van sgraffiti wordt steeds groter. Erb heeft in Amsterdam ook twee grote abstracte sgraffiti gemaakt in het trappenhuis van het gemeentekantoor/politiebureau in de Moerkerkenstraat. Deze zijn echter overgeschilderd / verdwenen.";"De sgraffito in de vestibule van de hoofdingang heeft een beeldbepalende functie. Het schoolgebouw is in 1898 gebouwd door de Dienst der Publieke Werken als Lagere School der eerste klasse, no. 44, een kosteloze school met 14 lokalen voor 600 arme kinderen. De school, in het centrum gelegen, is een gemeentelijk monument.";"POINT(4.931304,52.370057)";"POINT(52.370057,4.931304)";4.931304;52.370057;
10;"Schildering";"";"Lucebert ( Lubertus Swaanswijk 1924-1994)";1947;"Waardevol";"De Wittenstraat 29";"Gemeentelijk monument";1892;"";"In het voormalige schoolgebouw in De Wittenstraat 27, nu appartementencomplex, bevindt zich een wandschildering van Lucebert, pseudoniem van Lubertus Swaanswijk. Het heeft een kunsthistorische waarde als een kunstwerk van de bekende expressionistische kunstenaar Lucebert. Het heeft waarde als zijn eerste monumentale opdracht en als een uit zijn religieuze periode. Lucebert kreeg zijn bekendheid als lid van de Vijftigers en als dichter van de CoBra. Als kunstenaar is hij autodidact. Hij tekende en maakte schilderijen met mythische wezens. Hij inspireerde zich op kindertekeningen en op kunst van niet-westerse `primitieve` volken. Hij heeft maar een paar monumentale kunstwerken gemaakt. In de monografie over Lucebert, geschreven door Diana Wind, staat dat het schoolgebouw indertijd ingericht was als een Kapel van het Sint Franciscushuis. In de Koninklijke Bibliotheek in Den Haag heeft hij in 1983 het kunstwerk `De Namiddag van een Faun` geschilderd als een percentage-opdracht van het Rijk waar indertijd fl. 96.000,00 voor is betaald, zo staat vermeld in het boek In Opdracht. Zestig jaar percentageregeling. Zijn eerste solotentoonstelling was in 1959 in het Stedelijk Museum in Amsterdam. Hij exposeerde op de Biënnale van Parijs en op de Documenta in Kassel en heeft tentoonstellingen gehad in de Marlborough Gallery in Londen. Als dichter won hij prijzen als de Constantijn Huygensprijs en de P.C. Hooftprijs. Naast diverse exposities in Nederland was zijn werk ook te zien in Duitsland, Frankrijk, België, Scandinavië en Spanje.";"Luceberts religieuze wandschildering heeft een cultuurhistorische waarde als het enige monumentale kunstwerk van Lucebert in Amsterdam. Het is niet compleet, aan de rechterkant en aan de bovenkant ontbreken delen die mogelijk nog achter de wand en het plafond zitten.";"Het kunstwerk heeft tegenwoordig geen beeldbepalende positie meer in dit voormalige schoolgebouw. Het is in 1889 gebouwd door de Dienst der Publieke Werken als de School der 1e klasse, no. 57. Het kunstwerk bevindt zich nu in een privé-appartement.";"POINT(4.879785,52.383715)";"POINT(52.383715,4.879785)";4.879785;52.383715;
11;"Schildering";"";"Karel Appel (1921-2006)";1951;"Top";"Paulus Potterstraat 13";"Rijksmonument";1895;"";"Het Stedelijk Museum bezit twee vroege monumentale wandschilderingen van Karel Appel. Beide kunstwerken, in de voormalige foyer en in het restaurant, zijn onbetwist topkunstwerken. In 1951 beschilderde de kunstenaar alle wanden en het plafond van de voormalige foyer naast de aula, als een abstract-expressionistische wereld. Het heeft een kunsthistorische waarde als vermoedelijk de tweede wandschildering van zijn hand. De eerste die hij in 1949 in het voormalige stadhuis aan de Oudezijds Voorburgwal maakte, werd door de ambtenaren als choquerend beschouwd en afgedekt. De kunstadviescommissie, met leden als museumdirecteur Willem Sandberg, kon niet verhinderen dat de wandschildering in het stadhuis werd afgedekt. Vermoedelijk is deze opdracht voor de foyer als compensatie bedoeld geweest. Het is kunsthistorisch van groot belang, omdat het geschilderd is door de internationaal bekende Karel Appel, oprichter van de CoBra-beweging en door velen beschouwd als de belangrijkste Nederlandse abstract-expressionistisch kunstenaar van na de Tweede Wereldoorlog. Deze wandschildering met de half-figuratieve, half abstracte vormen heeft, als de eerste wandschildering van een totale ruimte, in zijn oeuvre zeldzaamheidswaarde. Het heeft ook waarde omdat het symbool staat voor de herwonnen vrijheid na de oorlog en vrijheid in de kunst. Appel liet zich inspireren door de spontaniteit van kindertekeningen en kunst uit Afrika, zonder de formele regels van de westerse maatschappij. Kinderen maken geen oorlog. Over Karel Appels kunst zijn talloze boeken encatalogi gepubliceerd en veel solotentoonstellingen georganiseerd, waaronder in het Cobra Museum in Amstelveen. Hij studeerde aan de Rijksacademie voor Beeldende Kunsten en richtte met Brands, Rooskens en Corneille de Experimentele Groep op. In 1948 volgde de CoBra. Hij was kort lid van VbMK en van de LIGA Nieuw Beelden.Hij beschilderde in 1955 een lange muur op de tentoonstelling E55 en maakte voor architect Oud tegeltableaus op het Bio-vakantieoord en voor het Shell-gebouw in Den Haag. Het Westeinde Ziekenhuis in Den Haag bezit ook een kunstwerk van Appel. Zijn glas-in-betonwand siert het gebouw van Technicon -nu Hofpleintheater- in Rotterdam. Over zijn glasappliqué`s in de Paaskerk in Zaandam schreef Frans van Burkom een rapport.";"Het is één van de vier Amsterdamse monumentale kunstwerken van Karel Appel in Amsterdam. Het Slotervaartziekenhuis bezit een glaswand van Appel.";"De wandschildering heeft een beeldbepalende positie in de voormalige foyer van het door architect Weissman in 1895 gebouwde Stedelijk Museum.";"POINT(4.879741,52.358055)";"POINT(52.358055,4.879741)";4.879741;52.358055;
12;"Schildering";"";"Karel Appel (1921-2006)";1956;"Top";"Museumplein 10";"Rijksmonument";1895;"";"Het Stedelijk Museum bezit twee vroege monumentale wandschilderingen van Karel Appel. Beide kunstwerken, in de voormalige foyer en in het restaurant zijn onbetwist top-kunstwerken. In 1956 maakte hij in het restaurant op de elf meter brede wand een abstract-expressionistische wandschildering. De ronde vorm is gevuld met glas. Het kan gezien worden als de derde stap in de acceptatie van het abstract-Expressionisme en de CoBra in Amsterdam in de jaren vijftig. De eerste wandschildering die hij in 1949 in het voormalige stadhuis aan de Oudezijds Voorburgwal maakte, werd door de ambtenaren geweigerd. In 1951 transformeerde hij de foyer van het Stedelijk Museum in een abstract-expressionistische wereld door alle wanden en het plafond te beschilderen. Dat was het begin van de acceptatie, maar dit werd nog vermeden door de hardnekkige weigeraars. De grote wandschildering in het restaurant in 1956 was nog steeds avant-garde, maar betekende acceptatie door de museumbezoekers. Een succes voor museumdirecteur Willem Sandberg. Ze kunnen in dit opzicht opgevat worden als een ensemble. Het staat symbool voor de herwonnen vrijheid na de oorlog en vrijheid in de kunst. De wandschildering is kunsthistorisch van groot belang omdat het geschilderd is door de internationaal bekende Karel Appel, oprichter van de CoBra-beweging en door velen beschouwd als de belangrijkste Nederlandse abstract-expressionistisch kunstenaar van na de Tweede Wereldoorlog. Appel liet zich inspireren door de spontaniteit van kindertekeningen en kunst uit Afrika, zonder de formele regels van de westerse maatschappij. Kinderen maken geen oorlog. Over Karel Appels kunst zijn talloze boeken encatalogi gepubliceerd en veel solo-museumtentoonstellingen georganiseerd, waaronder in het Cobra Museum in Amstelveen. Hij studeerde aan de Rijksacademie voor Beeldende Kunsten en richtte met Brands, Rooskens en Corneille, de Experimentele Groep op. In 1948 volgde de CoBra. Hij was kort lid van VbMK en van de LIGA Nieuw Beelden.Hij beschilderde in 1955 een lange muur op de tentoonstelling E55  en maakte voor architect Oud tegeltableaus op het Bio-vakantieoord en voor het Shell-gebouw in Den Haag. Het Westeinde Ziekenhuis in Den Haag bezit ook een kunstwerk. En Appels glas-in-betonwand siert het gebouw van Technicon -nu Hofpleintheater- in Rotterdam. Over zijn glasappliqué`s in de Paaskerk in Zaandam, schreef Frans van Burkom een rapport.";"Het is één van de vier Amsterdamse monumentale kunstwerken van Karel Appel in Amsterdam. Het Slotervaartziekenhuis bezit een glaswand van Appel.";"De wandschildering heeft een beeldbepalende positie in het restaurant van het door architect Weissman in 1895 gebouwde Stedelijk Museum.";"POINT(4.879258,52.357927)";"POINT(52.357927,4.879258)";4.879258;52.357927;
13;"Glas, anders";"Machinegebouw Centrale Oost";"Jules Chapon (1914-2007)";0;"Waardevol";"Hoogte Kadijk 400";"Rijksmonument";1901;".";"Dit kunstwerk is volgens de inventarisatie van Erfgoedvereniging Heemschut gemaakt door de bekende beeldhouwer Jules Chapon. Het bevond zich aanvankelijk op Hoogte Kadijk 400 en is nu opgeslagen bij Nemo. Het kunstwerk staat niet vermeld in zijn oeuvrelijst. Het kunstwerk heeft een kunsthistorische waarde als een geometrisch-abstract glas-in-ijzerwand kunstwerk en heeft mogelijk- ook waarde als één van zijn weinige nog overgebleven monumentale kunstwerken. Chapon is een van de bekendste geometrisch-abstract werkende monumentale Nederlandse kunstenaars geweest die tot de eerste naoorlogse generatie kunstenaars behoort. Zijn monumentale oeuvre is beperkt, maar opvallend. Dat geldt vooral voor zijn glas-in-ijzerwanden. In de jaren zestig werd zijn kunst al beschouwd als topkunst dat alleen voor recordprijzen was aan te schaffen. De geometrisch-abstracte glas-in-ijzerwand van Jules Chapon in de Nederlandse Bank heeft een grote kunsthistorische waarde. De realisering van de glas-in-ijzerwand die hij voor het kantoor van de NDSM in Amsterdam-Noord maakte, is verfilmd en getoond door het Polygoonjournaal. De stoere wand, gemaakt van scheepshuiden en -platen, half gepolijste machineonderdelen en gekleurde glasplaten en karbonkels, had organische vormen met een `vegatief  karakter`. De film is nu te zien op de Wikipedia-pagina van Jules Chapon. Hij kreeg hiervoor een gouden medaille op het festival van Bilbao. Chapon maakte buiten Amsterdam een wand in het Elektronisch Testcentrum van Fokker (1961).Jules Chapon was een joodse kunstenaar, die na zijn studie economie voor de kunst koos en getrouwd is geweest met Eva Bendien van Galerie Espace. Hij verhuisde van Haarlem naar Frankrijk, om niet meer geconfronteerd te worden met de man die zijn ouders in de Tweede Wereldoorlog had verraden, zo verklaarde hij in een interview.";"In Amsterdam heeft Chapon behalve de wand van het hoofdkantoor voor de NDSM-werf en de wand in de Nederlandse Bank en ook vier stalen panelen gemaakt voor de Gemeentelijke Waterleidingen en een gepolijste wand voor de Penitentiaire Inrichting. Deze percentageopdracht van het Rijk voor de Bijmerbajes was indertijd één van de duurste percentagekunstwerken van Amsterdam. Het kostte toen wel fl 324.121. Het heeft de pers gehaald nadat het illegaal was gesloopt. Het kunstwerk in de Nederlandse Bank staat afgebeeld in Wand des tijds, geschreven door de adjunct-directeur van Kunst en Bedrijf, Tom Haartsen.";"Over de architectuurhistorische waarde valt nu niets te zeggen.";"POINT(4.921971,52.366758)";"POINT(52.366758,4.921971)";4.921971;52.366758;
